
CCTV-Live,#genre#
CCTV-4k,http://1eec15.netsite.cc/proxy/968404657/968404657.m3u8
CCTV-1,http://1eec15.netsite.cc/proxy/1964731068/1964731068.m3u8
CCTV-2,http://1eec15.netsite.cc/proxy/1486446687/1486446687.m3u8
CCTV-3,http://1eec15.netsite.cc/proxy/781829366/781829366.m3u8
CCTV-4,http://1eec15.netsite.cc/proxy/488588922/488588922.m3u8
CCTV-5,http://1eec15.netsite.cc/proxy/1233541493/1233541493.m3u8
CCTV-5+,http://1eec15.netsite.cc/proxy/1327890911/1327890911.m3u8
CCTV-6,http://1eec15.netsite.cc/proxy/1275265590/1275265590.m3u8
CCTV-7,http://1eec15.netsite.cc/proxy/220822188/220822188.m3u8
CCTV-8,http://1eec15.netsite.cc/proxy/366510833/366510833.m3u8
CCTV-9,http://1eec15.netsite.cc/proxy/1618579230/1618579230.m3u8
CCTV-10,http://1eec15.netsite.cc/proxy/1288910059/1288910059.m3u8
CCTV-11,http://1eec15.netsite.cc/proxy/1263246901/1263246901.m3u8
CCTV-12,http://1eec15.netsite.cc/proxy/479563435/479563435.m3u8
CCTV-13,http://1eec15.netsite.cc/proxy/1100148851/1100148851.m3u8
CCTV-14,http://1eec15.netsite.cc/proxy/329783189/329783189.m3u8
CCTV-15,http://1eec15.netsite.cc/proxy/518544399/518544399.m3u8
CCTV-16,http://1eec15.netsite.cc/proxy/1213181202/1213181202.m3u8
CCTV-17,http://1eec15.netsite.cc/proxy/642661480/642661480.m3u8
1905-电影网,http://1eec15.netsite.cc/proxy/1747360543/1747360543.m3u8
咪咕体育,http://1eec15.netsite.cc/proxy/1168525477/1168525477.m3u8
凤凰卫视,http://1eec15.netsite.cc/proxy/1650326537/1650326537.m3u8
凤凰卫视,http://1eec15.netsite.cc/proxy/1650326537/1650326537.m3u8
凤凰中文,http://1eec15.netsite.cc/proxy/1846789161/1846789161.m3u8
凤凰中文,http://1eec15.netsite.cc/proxy/1846789161/1846789161.m3u8
北京卫视,http://1eec15.netsite.cc/proxy/105545939/105545939.m3u8
江苏卫视,http://1eec15.netsite.cc/proxy/1924965376/1924965376.m3u8
浙江卫视,http://1eec15.netsite.cc/proxy/1076829733/1076829733.m3u8
湖南卫视,http://1eec15.netsite.cc/proxy/1187608335/1187608335.m3u8
湖北卫视,http://1eec15.netsite.cc/proxy/1877417018/1877417018.m3u8
广东卫视,http://1eec15.netsite.cc/proxy/1094148202/1094148202.m3u8
广西卫视,http://1eec15.netsite.cc/proxy/1770922842/1770922842.m3u8
黑龙江卫视,http://1eec15.netsite.cc/proxy/813712546/813712546.m3u8
海南卫视,http://1eec15.netsite.cc/proxy/1868988087/1868988087.m3u8
重庆卫视,http://1eec15.netsite.cc/proxy/2064842136/2064842136.m3u8
深圳卫视,http://1eec15.netsite.cc/proxy/1210483979/1210483979.m3u8
四川卫视,http://1eec15.netsite.cc/proxy/1727775864/1727775864.m3u8
河南卫视,http://1eec15.netsite.cc/proxy/1919483832/1919483832.m3u8
东南卫视,http://1eec15.netsite.cc/proxy/969538215/969538215.m3u8
贵州卫视,http://1eec15.netsite.cc/proxy/1478277200/1478277200.m3u8
江西卫视,http://1eec15.netsite.cc/proxy/1871199348/1871199348.m3u8
辽宁卫视,http://1eec15.netsite.cc/proxy/2131459290/2131459290.m3u8
安徽卫视,http://1eec15.netsite.cc/proxy/1817490980/1817490980.m3u8
河北卫视,http://1eec15.netsite.cc/proxy/1385861493/1385861493.m3u8
山东卫视,http://1eec15.netsite.cc/proxy/1763730718/1763730718.m3u8
新疆卫视,http://1eec15.netsite.cc/proxy/1423426614/1423426614.m3u8
新疆兵团卫视,http://1eec15.netsite.cc/proxy/1502802665/1502802665.m3u8
云南卫视,http://1eec15.netsite.cc/proxy/1057712184/1057712184.m3u8
黑龙江卫视,http://1eec15.netsite.cc/proxy/1993445467/1993445467.m3u8
内蒙古卫视,http://1eec15.netsite.cc/proxy/1149350272/1149350272.m3u8
山西卫视,http://1eec15.netsite.cc/proxy/825435414/825435414.m3u8
甘肃卫视,http://1eec15.netsite.cc/proxy/1209404373/1209404373.m3u8
海南卫视,http://1eec15.netsite.cc/proxy/2019508840/2019508840.m3u8
贵州卫视,http://1eec15.netsite.cc/proxy/344811278/344811278.m3u8
陕西卫视,http://1eec15.netsite.cc/proxy/917851306/917851306.m3u8
宁夏卫视,http://1eec15.netsite.cc/proxy/1558349983/1558349983.m3u8
三沙卫视,http://1eec15.netsite.cc/proxy/1337100319/1337100319.m3u8
青海卫视,http://1eec15.netsite.cc/proxy/1152127449/1152127449.m3u8

斗鱼电影,#genre#
4K电影,http://allinone.netsite.cc/douyu/9249162
华语电影1,http://allinone.netsite.cc/douyu/122402
华语电影2,http://allinone.netsite.cc/douyu/85894
粤语电影,http://allinone.netsite.cc/douyu/6566671
欧美电影,http://allinone.netsite.cc/douyu/20415
国内惊悚,http://allinone.netsite.cc/douyu/218859
国外惊悚,http://allinone.netsite.cc/douyu/96577
斗鱼电影1,http://allinone.netsite.cc/douyu/747764
斗鱼电影2,http://allinone.netsite.cc/douyu/6140589
斗鱼电影3,http://allinone.netsite.cc/douyu/36337
斗鱼电影4,http://allinone.netsite.cc/douyu/2436390
斗鱼电影5,http://allinone.netsite.cc/douyu/323876
榜单电影,http://allinone.netsite.cc/douyu/8770422


